episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,659,-535.1796,15.0,659,0.995,0.0,0.0,0.0,0.0
2,880,-126.6464,3.0,221,0.990025,0.0,0.0,0.0,0.0
3,1486,-686.4478,1.0,606,0.985075,0.0,0.0,0.0,0.0
4,1880,-7.4681,14.0,394,0.98015,0.0,0.0,0.0,0.0
5,2400,-2801.8729,13.0,520,0.975249,28.34613,0.0,0.0,0.0
6,3288,-402.3336,30.0,888,0.970373,42.588706,0.0,0.0,0.0
7,4489,-3579.0727,3.0,1201,0.965521,33.988035,0.0,0.0,0.0
8,4999,-725.9306,2.0,510,0.960693,32.987652,0.0,0.0,0.0
9,5502,-1194.0868,5.0,503,0.95589,24.847792,0.0,0.0,0.0
10,5819,-19.6547,12.0,317,0.95111,28.367081,0.0,0.0,0.0
11,6233,-405.2805,3.0,414,0.946355,23.64783,0.0,0.0,0.0
12,6963,568.9811,35.0,730,0.941623,29.755304,0.0,0.0,0.0
13,7249,172.5625,14.0,286,0.936915,39.961339,0.0,0.0,0.0
14,7745,-229.7401,13.0,496,0.93223,41.50699,0.0,0.0,0.0
15,8031,35.5971,14.0,286,0.927569,52.732729,0.0,0.0,0.0
16,8218,-67.3099,10.0,187,0.922931,10.857196,0.0,0.0,0.0
17,8557,-417.2673,1.0,339,0.918316,18.533305,0.0,0.0,0.0
18,9758,-1501.6339,18.0,1201,0.913725,32.298528,0.0,0.0,0.0
19,10959,-2532.1154,2.0,1201,0.909156,23.620319,0.0,0.0,0.0
20,12160,-1446.0375,1.0,1201,0.90461,24.618118,0.0,0.0,0.0
21,12580,-634.431,8.0,420,0.900087,32.0263,0.0,0.0,0.0
22,12762,48.3382,6.0,182,0.895587,22.389664,0.0,0.0,0.0
23,12861,-116.751,0.0,99,0.891109,28.522964,0.0,0.0,0.0
24,14062,-1156.7347,16.0,1201,0.886654,25.888016,0.0,0.0,0.0
25,14705,-1355.8803,9.0,643,0.88222,19.489733,-262.482,20.6,624.8
26,15906,-2830.8135,22.0,1201,0.877809,19.894694,0.0,0.0,0.0
27,16926,-447.5418,42.0,1020,0.87342,26.879597,0.0,0.0,0.0
28,17650,-742.5367,15.0,724,0.869053,27.6652,0.0,0.0,0.0
29,18093,23.409,16.0,443,0.864708,17.741444,0.0,0.0,0.0
30,19259,-2220.3285,14.0,1166,0.860384,26.267122,0.0,0.0,0.0
31,19863,-1013.5973,28.0,604,0.856082,15.38573,0.0,0.0,0.0
32,20468,140.7345,28.0,605,0.851802,25.598416,0.0,0.0,0.0
33,21111,223.0776,23.0,643,0.847543,21.188614,0.0,0.0,0.0
34,21469,39.678,24.0,358,0.843305,25.644474,0.0,0.0,0.0
35,21595,5.835,16.0,126,0.839089,26.765124,0.0,0.0,0.0
36,21955,247.8665,23.0,360,0.834893,33.760041,0.0,0.0,0.0
37,22195,127.1576,28.0,240,0.830719,36.693902,0.0,0.0,0.0
38,22659,299.3742,27.0,464,0.826565,30.523756,0.0,0.0,0.0
39,23620,-96.2974,34.0,961,0.822432,26.64074,0.0,0.0,0.0
40,24360,-1967.6322,5.0,740,0.81832,24.647192,0.0,0.0,0.0
41,25068,727.0759,160.0,708,0.814229,26.043918,0.0,0.0,0.0
42,25429,175.4043,26.0,361,0.810157,49.507452,0.0,0.0,0.0
43,25812,293.2966,45.0,383,0.806107,28.427887,0.0,0.0,0.0
44,26313,213.5533,31.0,501,0.802076,30.136892,0.0,0.0,0.0
45,26702,247.8261,42.0,389,0.798066,29.291055,0.0,0.0,0.0
46,27177,25.2036,16.0,475,0.794075,20.973295,0.0,0.0,0.0
47,27743,482.64,55.0,566,0.790105,31.610794,0.0,0.0,0.0
48,28035,190.0414,33.0,292,0.786154,43.566509,0.0,0.0,0.0
49,28457,320.7156,72.0,422,0.782224,27.928239,0.0,0.0,0.0
50,29253,633.7399,74.0,796,0.778313,34.777381,637.718,166.9,614.5
51,30265,-316.5236,74.0,1012,0.774421,29.614248,0.0,0.0,0.0
52,30807,470.5683,75.0,542,0.770549,34.384985,0.0,0.0,0.0
53,31033,111.6729,23.0,226,0.766696,37.275155,0.0,0.0,0.0
54,31328,202.8412,49.0,295,0.762863,42.341859,0.0,0.0,0.0
