episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,690,-740.7752,8.0,690,0.995,0.0,0.0,0.0,0.0
2,894,-92.1676,7.0,204,0.990025,0.0,0.0,0.0,0.0
3,1317,-760.7144,4.0,423,0.985075,0.0,0.0,0.0,0.0
4,2129,-1581.8463,2.0,812,0.98015,59.495187,0.0,0.0,0.0
5,2243,-38.1306,5.0,114,0.975249,41.296879,0.0,0.0,0.0
6,2428,45.0865,12.0,185,0.970373,40.581912,0.0,0.0,0.0
7,2539,-22.4573,8.0,111,0.965521,56.081795,0.0,0.0,0.0
8,2886,-227.3009,1.0,347,0.960693,45.878615,0.0,0.0,0.0
9,3174,-291.4603,14.0,288,0.95589,35.84465,0.0,0.0,0.0
10,3566,-372.0958,4.0,392,0.95111,17.786846,0.0,0.0,0.0
11,3640,-54.0835,6.0,74,0.946355,11.321276,0.0,0.0,0.0
12,4508,-372.2712,24.0,868,0.941623,28.993146,0.0,0.0,0.0
13,4890,139.3434,10.0,382,0.936915,29.756309,0.0,0.0,0.0
14,5377,-211.3746,14.0,487,0.93223,37.893381,0.0,0.0,0.0
15,5438,-68.5869,3.0,61,0.927569,24.929397,0.0,0.0,0.0
16,5970,-521.7403,9.0,532,0.922931,33.983166,0.0,0.0,0.0
17,6262,118.2742,17.0,292,0.918316,18.087641,0.0,0.0,0.0
18,6486,-523.5335,3.0,224,0.913725,38.3929,0.0,0.0,0.0
19,6736,141.5031,26.0,250,0.909156,36.314389,0.0,0.0,0.0
20,7661,736.3027,72.0,925,0.90461,28.317839,0.0,0.0,0.0
21,8444,-1228.3174,2.0,783,0.900087,29.725033,0.0,0.0,0.0
22,8760,67.6745,22.0,316,0.895587,21.187535,0.0,0.0,0.0
23,9023,149.9587,20.0,263,0.891109,31.269647,0.0,0.0,0.0
24,9215,-2.1337,12.0,192,0.886654,38.665465,0.0,0.0,0.0
25,9380,36.5934,11.0,165,0.88222,28.348809,730.815,127.3,2384.7
26,9589,53.8113,10.0,209,0.877809,32.142098,0.0,0.0,0.0
27,9798,-17.7156,7.0,209,0.87342,31.420349,0.0,0.0,0.0
28,10067,112.8853,22.0,269,0.869053,21.474182,0.0,0.0,0.0
29,10626,-854.1987,15.0,559,0.864708,34.802932,0.0,0.0,0.0
30,10753,10.2077,8.0,127,0.860384,25.971062,0.0,0.0,0.0
31,11669,-1379.0577,17.0,916,0.856082,27.253811,0.0,0.0,0.0
32,11851,53.753,10.0,182,0.851802,24.297568,0.0,0.0,0.0
33,13052,-1169.1525,28.0,1201,0.847543,27.620434,0.0,0.0,0.0
34,13759,652.8128,99.0,707,0.843305,29.018452,0.0,0.0,0.0
35,14442,-638.9881,18.0,683,0.839089,31.97213,0.0,0.0,0.0
36,14648,-127.5501,3.0,206,0.834893,26.994642,0.0,0.0,0.0
37,14769,-17.1334,2.0,121,0.830719,24.441121,0.0,0.0,0.0
38,15339,345.4661,54.0,570,0.826565,25.252769,0.0,0.0,0.0
39,15449,-10.5921,12.0,110,0.822432,11.138208,0.0,0.0,0.0
40,15645,78.4926,17.0,196,0.81832,29.495745,0.0,0.0,0.0
41,16846,-6848.8336,15.0,1201,0.814229,26.086578,0.0,0.0,0.0
42,17025,48.7111,7.0,179,0.810157,29.504356,0.0,0.0,0.0
43,17100,-51.9267,5.0,75,0.806107,31.638529,0.0,0.0,0.0
44,18086,-550.951,46.0,986,0.802076,27.906122,0.0,0.0,0.0
45,19196,-3892.9586,5.0,1110,0.798066,25.222568,0.0,0.0,0.0
46,19612,-356.4415,8.0,416,0.794075,36.878242,0.0,0.0,0.0
47,19692,-48.7433,4.0,80,0.790105,45.598888,0.0,0.0,0.0
48,19892,75.2933,15.0,200,0.786154,29.110668,0.0,0.0,0.0
49,20012,-11.2354,9.0,120,0.782224,40.391689,0.0,0.0,0.0
50,20600,-940.8994,1.0,588,0.778313,28.366143,284.1426,80.5,338.6
51,20736,13.3268,11.0,136,0.774421,52.338907,0.0,0.0,0.0
52,21038,-98.0847,7.0,302,0.770549,37.545924,0.0,0.0,0.0
53,21480,-1073.1874,16.0,442,0.766696,28.849524,0.0,0.0,0.0
54,21759,147.663,11.0,279,0.762863,28.382965,0.0,0.0,0.0
55,22054,-183.0149,8.0,295,0.759048,25.387204,0.0,0.0,0.0
56,22471,208.8054,22.0,417,0.755253,31.755844,0.0,0.0,0.0
57,22685,91.1278,13.0,214,0.751477,25.952956,0.0,0.0,0.0
58,23084,100.7604,19.0,399,0.747719,26.714893,0.0,0.0,0.0
59,23636,-123.9005,40.0,552,0.743981,43.981514,0.0,0.0,0.0
60,24513,-652.4388,42.0,877,0.740261,32.216876,0.0,0.0,0.0
61,25714,-1894.7505,7.0,1201,0.73656,30.062994,0.0,0.0,0.0
62,26915,-7699.5036,9.0,1201,0.732877,29.676497,0.0,0.0,0.0
63,27035,-15.1393,4.0,120,0.729212,15.76731,0.0,0.0,0.0
64,28241,377.2348,77.0,1206,0.725566,27.469748,0.0,0.0,0.0
65,29016,-3029.4789,10.0,775,0.721939,33.900222,0.0,0.0,0.0
66,30147,251.5411,117.0,1131,0.718329,31.652762,0.0,0.0,0.0
67,31635,-539.0567,35.0,1488,0.714737,29.844228,0.0,0.0,0.0
68,31754,-154.2458,0.0,119,0.711164,19.234162,0.0,0.0,0.0
69,32039,-253.1527,2.0,285,0.707608,20.273988,0.0,0.0,0.0
70,32243,-336.2365,1.0,204,0.70407,43.953134,0.0,0.0,0.0
71,32426,-288.3683,2.0,183,0.700549,40.684635,0.0,0.0,0.0
72,32723,73.6813,15.0,297,0.697047,37.93417,0.0,0.0,0.0
73,33150,-126.5292,5.0,427,0.693561,33.26883,0.0,0.0,0.0
74,33349,91.8485,22.0,199,0.690094,19.909991,0.0,0.0,0.0
75,33433,-127.8711,0.0,84,0.686643,24.150655,678.5821,178.8,642.4
76,33602,40.9618,11.0,169,0.68321,44.820849,0.0,0.0,0.0
77,34192,189.5814,21.0,590,0.679794,32.009082,0.0,0.0,0.0
78,34408,102.1189,22.0,216,0.676395,29.018999,0.0,0.0,0.0
79,35068,446.5259,55.0,660,0.673013,23.270251,0.0,0.0,0.0
80,35825,366.6497,69.0,757,0.669648,32.101721,0.0,0.0,0.0
81,36151,253.2404,58.0,326,0.6663,23.980635,0.0,0.0,0.0
82,36320,-222.0092,0.0,169,0.662968,35.512351,0.0,0.0,0.0
83,36492,-205.4871,0.0,172,0.659653,30.914612,0.0,0.0,0.0
84,36547,-98.788,0.0,55,0.656355,59.217303,0.0,0.0,0.0
85,36824,173.9213,35.0,277,0.653073,38.60212,0.0,0.0,0.0
86,36965,-170.3949,0.0,141,0.649808,21.312014,0.0,0.0,0.0
87,37529,461.3967,55.0,564,0.646559,29.983726,0.0,0.0,0.0
88,38548,-2522.2704,25.0,1019,0.643326,29.809735,0.0,0.0,0.0
89,38821,147.4707,8.0,273,0.640109,30.0547,0.0,0.0,0.0
90,39034,95.7472,29.0,213,0.636909,43.363885,0.0,0.0,0.0
91,39196,34.2697,11.0,162,0.633724,26.125668,0.0,0.0,0.0
92,39600,264.1718,35.0,404,0.630556,27.331563,0.0,0.0,0.0
93,41156,-6537.5491,111.0,1556,0.627403,24.483351,0.0,0.0,0.0
94,41270,-65.1391,0.0,114,0.624266,33.38872,0.0,0.0,0.0
95,41321,-82.4759,0.0,51,0.621145,22.896658,0.0,0.0,0.0
96,41490,-194.7635,0.0,169,0.618039,34.583386,0.0,0.0,0.0
97,41603,-27.5121,2.0,113,0.614949,32.132144,0.0,0.0,0.0
98,42804,-2.4566,3.0,1201,0.611874,26.725688,0.0,0.0,0.0
99,42904,-132.3982,0.0,100,0.608815,23.591368,0.0,0.0,0.0
100,43068,-58.8266,4.0,164,0.60577,43.549703,-354.6689,13.3,242.3
101,43326,134.4262,21.0,258,0.602742,44.425815,0.0,0.0,0.0
