episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,202,-296.5609,1.0,202,0.995,0.0,0.0,0.0,0.0
2,2220,-11848.3757,19.0,2018,0.990025,72.466327,0.0,0.0,0.0
3,2297,-52.9985,5.0,77,0.985075,65.313268,0.0,0.0,0.0
4,2735,-20.851,16.0,438,0.98015,70.223769,0.0,0.0,0.0
5,2950,90.0192,12.0,215,0.975249,74.880321,0.0,0.0,0.0
6,3230,156.7255,22.0,280,0.970373,63.42508,0.0,0.0,0.0
7,3680,-124.8647,13.0,450,0.965521,61.221355,0.0,0.0,0.0
8,3975,-73.6568,8.0,295,0.960693,54.377829,0.0,0.0,0.0
9,4128,-40.64,9.0,153,0.95589,45.061629,0.0,0.0,0.0
10,4509,-364.8002,14.0,381,0.95111,68.61788,0.0,0.0,0.0
11,4712,-120.1124,6.0,203,0.946355,69.329468,0.0,0.0,0.0
12,4804,-34.1464,8.0,92,0.941623,53.987931,0.0,0.0,0.0
13,5004,-91.0182,8.0,200,0.936915,68.039749,0.0,0.0,0.0
14,5150,-2.1646,8.0,146,0.93223,77.178404,0.0,0.0,0.0
15,5920,-151.981,24.0,770,0.927569,59.640788,0.0,0.0,0.0
16,6578,-496.2873,17.0,658,0.922931,52.066049,0.0,0.0,0.0
17,7779,-5898.6069,14.0,1201,0.918316,51.006425,0.0,0.0,0.0
18,7863,-45.6529,6.0,84,0.913725,38.716557,0.0,0.0,0.0
19,8066,74.3291,10.0,203,0.909156,57.212279,0.0,0.0,0.0
20,8194,9.8177,12.0,128,0.90461,72.33444,0.0,0.0,0.0
21,8677,50.6745,18.0,483,0.900087,61.328538,0.0,0.0,0.0
22,8821,-186.1859,0.0,144,0.895587,56.940281,0.0,0.0,0.0
23,9622,-972.2677,17.0,801,0.891109,53.367612,0.0,0.0,0.0
24,9796,52.1217,17.0,174,0.886654,42.856388,0.0,0.0,0.0
25,9857,-68.7612,3.0,61,0.88222,47.239721,95.2711,32.1,198.7
26,10303,-281.8154,14.0,446,0.877809,47.478379,0.0,0.0,0.0
27,10484,22.3991,13.0,181,0.87342,45.080851,0.0,0.0,0.0
28,10933,90.1419,17.0,449,0.869053,47.700704,0.0,0.0,0.0
29,11062,-78.0578,5.0,129,0.864708,38.940219,0.0,0.0,0.0
30,11995,-2840.2593,27.0,933,0.860384,51.314401,0.0,0.0,0.0
31,12688,165.3145,47.0,693,0.856082,50.303496,0.0,0.0,0.0
32,12754,-67.4707,3.0,66,0.851802,75.860967,0.0,0.0,0.0
33,13233,-935.3221,11.0,479,0.847543,39.419046,0.0,0.0,0.0
34,14551,-9269.1476,23.0,1318,0.843305,48.12447,0.0,0.0,0.0
35,14821,98.0872,23.0,270,0.839089,47.67084,0.0,0.0,0.0
36,15148,185.7079,21.0,327,0.834893,51.689731,0.0,0.0,0.0
37,15456,206.4658,37.0,308,0.830719,48.605511,0.0,0.0,0.0
38,15809,-87.8308,15.0,353,0.826565,45.466179,0.0,0.0,0.0
39,16291,309.6018,26.0,482,0.822432,41.972922,0.0,0.0,0.0
40,16681,175.6366,29.0,390,0.81832,45.452133,0.0,0.0,0.0
41,17046,264.6178,44.0,365,0.814229,47.824101,0.0,0.0,0.0
42,17255,100.9736,31.0,209,0.810157,57.034692,0.0,0.0,0.0
43,17590,216.3024,21.0,335,0.806107,55.710131,0.0,0.0,0.0
44,19215,254.1722,59.0,1625,0.802076,47.263663,0.0,0.0,0.0
45,19558,246.3523,43.0,343,0.798066,48.927103,0.0,0.0,0.0
