episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,1360,-8749.8019,18.0,1360,0.995,0.0,0.0,0.0,0.0
2,1529,39.5773,7.0,169,0.990025,0.0,0.0,0.0,0.0
3,1849,76.3833,17.0,320,0.985075,0.0,0.0,0.0,0.0
4,2112,172.3538,40.0,263,0.98015,45.761862,0.0,0.0,0.0
5,2277,-193.5852,0.0,165,0.975249,58.589143,0.0,0.0,0.0
6,3412,-2025.6594,3.0,1135,0.970373,40.707553,0.0,0.0,0.0
7,4246,-1856.561,19.0,834,0.965521,38.834733,0.0,0.0,0.0
8,4523,68.6489,19.0,277,0.960693,31.623832,0.0,0.0,0.0
9,5332,-5678.003,14.0,809,0.95589,37.319547,0.0,0.0,0.0
10,5545,-18.3319,8.0,213,0.95111,36.887752,0.0,0.0,0.0
11,5745,65.8986,8.0,200,0.946355,44.545152,0.0,0.0,0.0
12,6000,-18.3744,5.0,255,0.941623,44.501809,0.0,0.0,0.0
13,6583,-1849.314,3.0,583,0.936915,43.261883,0.0,0.0,0.0
14,7109,-847.37,1.0,526,0.93223,45.219961,0.0,0.0,0.0
15,7719,-194.0109,14.0,610,0.927569,41.637774,0.0,0.0,0.0
16,8290,-213.5785,13.0,571,0.922931,43.838821,0.0,0.0,0.0
17,8401,-104.1918,3.0,111,0.918316,29.817567,0.0,0.0,0.0
18,8527,-46.0831,6.0,126,0.913725,30.791559,0.0,0.0,0.0
19,8711,4.5172,5.0,184,0.909156,35.671617,0.0,0.0,0.0
20,9150,-1069.4493,3.0,439,0.90461,41.058068,0.0,0.0,0.0
21,9422,74.1502,11.0,272,0.900087,38.897946,0.0,0.0,0.0
22,9580,39.6394,14.0,158,0.895587,45.651781,0.0,0.0,0.0
23,9806,36.3088,9.0,226,0.891109,36.517861,0.0,0.0,0.0
24,10306,288.3649,24.0,500,0.886654,44.631379,0.0,0.0,0.0
25,10815,-605.6458,6.0,509,0.88222,48.116019,-3991.6192,4.8,1124.7
26,10948,-243.7735,0.0,133,0.877809,41.099335,0.0,0.0,0.0
27,11325,43.756,17.0,377,0.87342,51.69336,0.0,0.0,0.0
28,11752,-822.1945,1.0,427,0.869053,40.381883,0.0,0.0,0.0
29,11953,-44.5198,4.0,201,0.864708,45.60913,0.0,0.0,0.0
30,12329,19.1424,19.0,376,0.860384,42.746497,0.0,0.0,0.0
31,12497,31.2485,12.0,168,0.856082,57.753639,0.0,0.0,0.0
32,12831,218.1681,25.0,334,0.851802,50.787197,0.0,0.0,0.0
33,13078,94.2652,8.0,247,0.847543,55.714827,0.0,0.0,0.0
34,13356,-159.295,2.0,278,0.843305,52.688607,0.0,0.0,0.0
35,13690,-112.0957,11.0,334,0.839089,48.787747,0.0,0.0,0.0
36,14274,-882.0776,13.0,584,0.834893,44.608302,0.0,0.0,0.0
37,14588,205.2922,26.0,314,0.830719,48.06825,0.0,0.0,0.0
