episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
81,56054,301.6098,26.0,441,0.6663,44.581664,0.0,0.0,0.0
82,56741,355.3859,36.0,687,0.662968,55.822587,0.0,0.0,0.0
83,56947,94.3839,25.0,206,0.659653,36.041031,0.0,0.0,0.0
84,57427,-197.495,24.0,480,0.656355,39.273005,0.0,0.0,0.0
85,58088,-899.8367,27.0,661,0.653073,36.994923,0.0,0.0,0.0
86,58329,136.3695,38.0,241,0.649808,31.121769,0.0,0.0,0.0
87,58749,308.621,52.0,420,0.646559,41.657501,0.0,0.0,0.0
88,59048,198.6037,34.0,299,0.643326,36.664085,0.0,0.0,0.0
89,59364,214.9279,41.0,316,0.640109,54.577707,0.0,0.0,0.0
90,59677,129.8145,37.0,313,0.636909,47.416479,0.0,0.0,0.0
91,60043,249.7294,23.0,366,0.633724,37.66121,0.0,0.0,0.0
92,61182,-2142.687,144.0,1139,0.630556,39.173887,0.0,0.0,0.0
93,61673,367.4345,34.0,491,0.627403,39.283677,0.0,0.0,0.0
94,61772,-31.5079,6.0,99,0.624266,37.946337,0.0,0.0,0.0
95,62107,190.9461,31.0,335,0.621145,41.53855,0.0,0.0,0.0
96,62359,115.4991,28.0,252,0.618039,38.540166,0.0,0.0,0.0
97,62489,7.2789,17.0,130,0.614949,35.771728,0.0,0.0,0.0
98,62741,143.2217,33.0,252,0.611874,44.570192,0.0,0.0,0.0
99,63051,192.9877,22.0,310,0.608815,37.629789,0.0,0.0,0.0
100,63960,-2981.6923,29.0,909,0.60577,42.967626,1198.9562,277.8,1070.6
101,65460,1609.8839,260.0,1500,0.602742,47.574662,0.0,0.0,0.0
102,66180,366.5976,86.0,720,0.599728,135.387955,0.0,0.0,0.0
103,67369,1284.5747,264.0,1189,0.596729,100.936342,0.0,0.0,0.0
104,68146,-403.475,40.0,777,0.593746,227.033697,0.0,0.0,0.0
105,68654,300.345,60.0,508,0.590777,238.458083,0.0,0.0,0.0
106,69419,692.3619,114.0,765,0.587823,206.408805,0.0,0.0,0.0
107,70246,832.5422,169.0,827,0.584884,105.824809,0.0,0.0,0.0
108,70909,374.487,31.0,663,0.581959,132.763333,0.0,0.0,0.0
109,71446,388.0493,92.0,537,0.57905,114.063731,0.0,0.0,0.0
110,71874,313.2038,31.0,428,0.576154,252.435892,0.0,0.0,0.0
111,72453,530.6977,103.0,579,0.573274,155.721485,0.0,0.0,0.0
112,73452,499.1056,61.0,999,0.570407,130.098279,0.0,0.0,0.0
113,74507,1119.719,214.0,1055,0.567555,141.371951,0.0,0.0,0.0
114,74969,342.5444,94.0,462,0.564717,190.199931,0.0,0.0,0.0
115,76261,1406.3991,257.0,1292,0.561894,58.83599,0.0,0.0,0.0
116,76541,181.7983,36.0,280,0.559084,244.81928,0.0,0.0,0.0
117,76622,-50.9972,7.0,81,0.556289,188.108905,0.0,0.0,0.0
118,77761,1130.576,213.0,1139,0.553508,131.400922,0.0,0.0,0.0
119,78249,424.7603,74.0,488,0.55074,189.109202,0.0,0.0,0.0
120,79583,1327.2431,227.0,1334,0.547986,122.88935,0.0,0.0,0.0
121,80466,89.4446,71.0,883,0.545246,138.439299,0.0,0.0,0.0
122,81046,472.5795,81.0,580,0.54252,118.633599,0.0,0.0,0.0
123,81636,524.3671,74.0,590,0.539808,115.54249,0.0,0.0,0.0
124,82956,1371.8347,273.0,1320,0.537108,101.39305,0.0,0.0,0.0
125,83819,775.0512,112.0,863,0.534423,175.185862,-220.7349,1.0,1201.0
126,84008,62.2649,14.0,189,0.531751,93.831604,0.0,0.0,0.0
127,84499,334.269,67.0,491,0.529092,193.540974,0.0,0.0,0.0
128,85974,1143.9196,294.0,1475,0.526447,117.757713,0.0,0.0,0.0
