episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,1360,-8749.8019,18.0,1360,0.995,0.0,0.0,0.0,0.0
2,1529,39.5773,7.0,169,0.990025,0.0,0.0,0.0,0.0
3,1849,76.3833,17.0,320,0.985075,0.0,0.0,0.0,0.0
4,2112,172.3542,40.0,263,0.98015,86.108433,0.0,0.0,0.0
5,2896,-1283.8259,2.0,784,0.975249,74.64892,0.0,0.0,0.0
6,3566,-400.4682,34.0,670,0.970373,38.337365,0.0,0.0,0.0
7,4467,-512.5686,13.0,901,0.965521,33.155087,0.0,0.0,0.0
8,5597,-2642.0179,5.0,1130,0.960693,26.264535,0.0,0.0,0.0
9,6262,-339.5099,8.0,665,0.95589,27.890363,0.0,0.0,0.0
10,6608,-627.4957,2.0,346,0.95111,24.329044,0.0,0.0,0.0
11,6728,8.7344,14.0,120,0.946355,38.152072,0.0,0.0,0.0
12,6855,-72.204,1.0,127,0.941623,35.960532,0.0,0.0,0.0
13,8056,-2247.814,3.0,1201,0.936915,32.026358,0.0,0.0,0.0
14,8615,-307.3347,3.0,559,0.93223,29.834591,0.0,0.0,0.0
15,8767,-92.577,0.0,152,0.927569,22.787101,0.0,0.0,0.0
16,9069,-137.3928,3.0,302,0.922931,23.298891,0.0,0.0,0.0
17,9201,-71.3725,6.0,132,0.918316,38.162101,0.0,0.0,0.0
18,9329,-64.0423,1.0,128,0.913725,27.016574,0.0,0.0,0.0
19,10165,-913.4997,3.0,836,0.909156,27.963809,0.0,0.0,0.0
20,10566,-115.4426,7.0,401,0.90461,29.696874,0.0,0.0,0.0
21,10802,108.2678,11.0,236,0.900087,27.187631,0.0,0.0,0.0
22,11340,11.2095,20.0,538,0.895587,23.249567,0.0,0.0,0.0
23,11486,-152.1331,1.0,146,0.891109,29.199455,0.0,0.0,0.0
24,11820,-444.4,1.0,334,0.886654,28.256131,0.0,0.0,0.0
25,11931,-89.0169,3.0,111,0.88222,22.222755,96.8258,24.5,208.0
26,12044,-39.3465,2.0,113,0.877809,27.909499,0.0,0.0,0.0
27,12273,-72.512,10.0,229,0.87342,23.414456,0.0,0.0,0.0
28,13474,-3573.4707,3.0,1201,0.869053,26.211781,0.0,0.0,0.0
29,13604,-172.1942,0.0,130,0.864708,22.726866,0.0,0.0,0.0
30,14302,-514.3915,1.0,698,0.860384,24.613076,0.0,0.0,0.0
31,14496,-149.8463,2.0,194,0.856082,29.896637,0.0,0.0,0.0
32,14637,7.2098,5.0,141,0.851802,37.110283,0.0,0.0,0.0
33,14801,28.4874,5.0,164,0.847543,12.888616,0.0,0.0,0.0
34,15184,-294.3433,1.0,383,0.843305,31.547732,0.0,0.0,0.0
35,15339,25.5629,11.0,155,0.839089,39.169834,0.0,0.0,0.0
36,15428,-37.6,6.0,89,0.834893,24.815787,0.0,0.0,0.0
37,15602,-240.9917,2.0,174,0.830719,19.716481,0.0,0.0,0.0
