episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,202,-296.5609,1.0,202,0.995,0.0,0.0,0.0,0.0
2,2220,-11848.5987,19.0,2018,0.990025,102.235437,0.0,0.0,0.0
3,2297,-52.9985,5.0,77,0.985075,75.766446,0.0,0.0,0.0
4,2812,-7.015,41.0,515,0.98015,90.429331,0.0,0.0,0.0
5,2979,-7.7308,13.0,167,0.975249,100.016437,0.0,0.0,0.0
6,3389,-524.937,2.0,410,0.970373,65.872505,0.0,0.0,0.0
7,3658,3.0171,15.0,269,0.965521,58.249109,0.0,0.0,0.0
8,3996,221.2535,35.0,338,0.960693,66.228873,0.0,0.0,0.0
9,5159,-9900.3481,21.0,1163,0.95589,62.643987,0.0,0.0,0.0
10,5799,-1767.1439,3.0,640,0.95111,65.24571,0.0,0.0,0.0
11,5988,28.7057,6.0,189,0.946355,70.710427,0.0,0.0,0.0
12,6177,74.1396,17.0,189,0.941623,65.46913,0.0,0.0,0.0
13,6961,-2187.0919,11.0,784,0.936915,66.681389,0.0,0.0,0.0
14,7248,165.7184,17.0,287,0.93223,61.105455,0.0,0.0,0.0
15,7768,-182.599,17.0,520,0.927569,67.625582,0.0,0.0,0.0
16,7855,-39.906,7.0,87,0.922931,53.662177,0.0,0.0,0.0
17,8008,-73.6952,8.0,153,0.918316,50.679265,0.0,0.0,0.0
18,9209,-2886.4979,15.0,1201,0.913725,61.714924,0.0,0.0,0.0
19,9415,64.9379,14.0,206,0.909156,44.260636,0.0,0.0,0.0
20,9788,273.0358,57.0,373,0.90461,62.134194,0.0,0.0,0.0
21,9905,-13.8219,9.0,117,0.900087,62.903754,0.0,0.0,0.0
22,10071,51.1062,11.0,166,0.895587,61.700581,0.0,0.0,0.0
23,11151,-2546.541,20.0,1080,0.891109,59.743538,0.0,0.0,0.0
24,12352,-5822.6073,8.0,1201,0.886654,55.285378,0.0,0.0,0.0
25,12919,314.8005,44.0,567,0.88222,63.449352,-266.3815,42.2,435.2
26,13346,-899.5781,11.0,427,0.877809,64.620331,0.0,0.0,0.0
27,13648,55.4874,20.0,302,0.87342,48.820205,0.0,0.0,0.0
28,14148,7.9425,30.0,500,0.869053,51.84354,0.0,0.0,0.0
29,14508,197.0441,20.0,360,0.864708,53.127619,0.0,0.0,0.0
30,14668,-102.1674,6.0,160,0.860384,65.71087,0.0,0.0,0.0
31,14825,26.0051,9.0,157,0.856082,55.36936,0.0,0.0,0.0
32,15021,76.7495,20.0,196,0.851802,56.50381,0.0,0.0,0.0
33,15483,-744.0866,17.0,462,0.847543,56.680398,0.0,0.0,0.0
34,15630,9.7416,13.0,147,0.843305,62.932101,0.0,0.0,0.0
35,15844,99.5833,21.0,214,0.839089,52.923294,0.0,0.0,0.0
36,16470,458.2178,66.0,626,0.834893,52.886234,0.0,0.0,0.0
37,16742,166.7827,30.0,272,0.830719,56.504127,0.0,0.0,0.0
38,16924,-30.71,14.0,182,0.826565,55.811119,0.0,0.0,0.0
39,17629,573.2054,42.0,705,0.822432,59.221347,0.0,0.0,0.0
40,17720,-33.2315,6.0,91,0.81832,56.266162,0.0,0.0,0.0
41,17830,-40.7597,5.0,110,0.814229,57.670197,0.0,0.0,0.0
42,18883,393.0112,56.0,1053,0.810157,63.040805,0.0,0.0,0.0
43,19630,-23.1078,43.0,747,0.806107,56.997267,0.0,0.0,0.0
44,20053,227.9558,33.0,423,0.802076,53.299318,0.0,0.0,0.0
45,20774,-264.0392,21.0,721,0.798066,64.659341,0.0,0.0,0.0
46,21068,184.5245,35.0,294,0.794075,52.677978,0.0,0.0,0.0
47,21586,295.8215,32.0,518,0.790105,52.446051,0.0,0.0,0.0
48,21972,127.4318,32.0,386,0.786154,53.432641,0.0,0.0,0.0
49,22353,-309.488,11.0,381,0.782224,48.361179,0.0,0.0,0.0
50,23713,-838.5735,53.0,1360,0.778313,61.165855,265.0905,78.1,1095.3
51,23948,-313.3425,1.0,235,0.774421,65.122933,0.0,0.0,0.0
52,24479,343.4778,35.0,531,0.770549,55.237799,0.0,0.0,0.0
53,24848,-288.3543,2.0,369,0.766696,45.904523,0.0,0.0,0.0
54,25232,283.7607,42.0,384,0.762863,55.715659,0.0,0.0,0.0
55,26469,134.2822,95.0,1237,0.759048,50.043337,0.0,0.0,0.0
56,27273,659.0287,48.0,804,0.755253,47.339635,0.0,0.0,0.0
57,28863,-8687.4777,97.0,1590,0.751477,55.392811,0.0,0.0,0.0
58,30363,-854.2198,110.0,1500,0.747719,62.021916,0.0,0.0,0.0
59,32175,439.947,174.0,1812,0.743981,59.158035,0.0,0.0,0.0
60,32504,215.8519,29.0,329,0.740261,61.664777,0.0,0.0,0.0
61,33437,867.9454,89.0,933,0.73656,57.408596,0.0,0.0,0.0
62,33709,171.4418,37.0,272,0.732877,66.873092,0.0,0.0,0.0
63,34338,573.2998,78.0,629,0.729212,59.304929,0.0,0.0,0.0
64,37099,416.7211,182.0,2761,0.725566,50.251497,0.0,0.0,0.0
65,37474,289.0237,58.0,375,0.721939,48.551373,0.0,0.0,0.0
66,37875,232.9365,16.0,401,0.718329,52.091106,0.0,0.0,0.0
67,38573,216.4387,30.0,698,0.714737,54.896244,0.0,0.0,0.0
68,39029,335.4549,40.0,456,0.711164,41.207929,0.0,0.0,0.0
69,40429,-4998.9832,47.0,1400,0.707608,49.060982,0.0,0.0,0.0
70,40830,100.7288,30.0,401,0.70407,45.926841,0.0,0.0,0.0
71,42031,-1007.5846,25.0,1201,0.700549,39.442783,0.0,0.0,0.0
72,42328,198.602,44.0,297,0.697047,49.787022,0.0,0.0,0.0
73,42695,86.3292,35.0,367,0.693561,42.003349,0.0,0.0,0.0
74,43081,306.1591,60.0,386,0.690094,51.584952,0.0,0.0,0.0
75,44368,1114.8366,135.0,1287,0.686643,41.729109,160.8005,54.2,321.6
76,46144,-3739.6582,60.0,1776,0.68321,40.953954,0.0,0.0,0.0
77,46455,-459.1349,9.0,311,0.679794,35.75904,0.0,0.0,0.0
78,46813,166.6413,42.0,358,0.676395,41.075115,0.0,0.0,0.0
79,47221,-911.6513,13.0,408,0.673013,46.244472,0.0,0.0,0.0
80,49374,-42991.1652,82.0,2153,0.669648,45.09996,0.0,0.0,0.0
81,49561,65.4273,15.0,187,0.6663,71.109139,0.0,0.0,0.0
82,49753,81.9725,20.0,192,0.662968,68.694192,0.0,0.0,0.0
83,49841,-39.2714,7.0,88,0.659653,84.275439,0.0,0.0,0.0
84,51045,-1377.06,56.0,1204,0.656355,56.232088,0.0,0.0,0.0
85,51205,53.9011,25.0,160,0.653073,54.06631,0.0,0.0,0.0
86,51585,238.4583,38.0,380,0.649808,54.931597,0.0,0.0,0.0
87,51827,130.5832,29.0,242,0.646559,55.301241,0.0,0.0,0.0
88,53329,-5313.0333,44.0,1502,0.643326,59.532217,0.0,0.0,0.0
89,54888,-329.6578,134.0,1559,0.640109,53.890624,0.0,0.0,0.0
90,55147,54.7998,25.0,259,0.636909,61.293306,0.0,0.0,0.0
91,55554,19.2531,21.0,407,0.633724,52.669619,0.0,0.0,0.0
92,56309,141.1006,54.0,755,0.630556,50.358175,0.0,0.0,0.0
93,56827,115.178,40.0,518,0.627403,52.694737,0.0,0.0,0.0
94,57685,572.0916,60.0,858,0.624266,50.970336,0.0,0.0,0.0
95,59401,484.8048,133.0,1716,0.621145,55.370205,0.0,0.0,0.0
96,59622,112.6096,27.0,221,0.618039,51.196474,0.0,0.0,0.0
97,60374,-1136.6928,29.0,752,0.614949,53.667551,0.0,0.0,0.0
98,61575,-2097.1902,20.0,1201,0.611874,55.147467,0.0,0.0,0.0
99,61759,68.6755,21.0,184,0.608815,64.7695,0.0,0.0,0.0
100,62960,-1098.6346,27.0,1201,0.60577,56.925536,-994.171,62.7,696.2
101,64402,839.885,126.0,1442,0.602742,58.403446,0.0,0.0,0.0
102,64599,-51.624,10.0,197,0.599728,52.709788,0.0,0.0,0.0
103,65956,-1435.0213,32.0,1357,0.596729,52.634934,0.0,0.0,0.0
104,67157,-566.1898,28.0,1201,0.593746,52.291869,0.0,0.0,0.0
105,68358,-7263.4231,17.0,1201,0.590777,57.689626,0.0,0.0,0.0
106,69677,-516.2851,80.0,1319,0.587823,58.544829,0.0,0.0,0.0
107,70712,-1537.4979,28.0,1035,0.584884,55.5048,0.0,0.0,0.0
108,70848,-300.6231,0.0,136,0.581959,73.77516,0.0,0.0,0.0
109,72032,347.5586,144.0,1184,0.57905,56.493737,0.0,0.0,0.0
110,72658,-491.8134,12.0,626,0.576154,54.296059,0.0,0.0,0.0
111,73009,-12.4493,18.0,351,0.573274,49.358769,0.0,0.0,0.0
112,73489,262.1951,25.0,480,0.570407,48.531692,0.0,0.0,0.0
113,74081,516.287,61.0,592,0.567555,44.736945,0.0,0.0,0.0
114,74360,180.7879,34.0,279,0.564717,57.496194,0.0,0.0,0.0
115,76375,-378.086,122.0,2015,0.561894,56.960333,0.0,0.0,0.0
116,77045,-805.6334,22.0,670,0.559084,54.127489,0.0,0.0,0.0
117,77507,-254.7319,29.0,462,0.556289,65.474739,0.0,0.0,0.0
118,78199,691.9608,134.0,692,0.553508,52.687941,0.0,0.0,0.0
119,78302,-6.8913,9.0,103,0.55074,65.347374,0.0,0.0,0.0
120,78940,590.0553,85.0,638,0.547986,52.860861,0.0,0.0,0.0
121,80266,-3340.5285,17.0,1326,0.545246,63.326734,0.0,0.0,0.0
122,80494,124.9277,29.0,228,0.54252,58.766732,0.0,0.0,0.0
123,81292,799.0401,136.0,798,0.539808,69.055978,0.0,0.0,0.0
124,81506,93.6363,26.0,214,0.537108,61.389166,0.0,0.0,0.0
125,81619,-9.2165,8.0,113,0.534423,55.997785,562.8511,135.5,574.7
126,82428,827.7819,154.0,809,0.531751,69.223076,0.0,0.0,0.0
127,82744,217.541,36.0,316,0.529092,67.837453,0.0,0.0,0.0
128,84009,1309.3744,209.0,1265,0.526447,63.522152,0.0,0.0,0.0
129,84948,969.3123,161.0,939,0.523814,67.051758,0.0,0.0,0.0
130,85058,-19.1383,11.0,110,0.521195,68.000502,0.0,0.0,0.0
131,85268,88.7582,11.0,210,0.518589,81.057284,0.0,0.0,0.0
132,86203,1007.9873,212.0,935,0.515996,65.852109,0.0,0.0,0.0
133,86920,720.421,138.0,717,0.513416,69.970522,0.0,0.0,0.0
134,88095,1233.2868,282.0,1175,0.510849,72.44463,0.0,0.0,0.0
135,88341,138.8704,30.0,246,0.508295,72.165063,0.0,0.0,0.0
136,88569,105.0875,31.0,228,0.505754,78.68587,0.0,0.0,0.0
137,89258,682.922,131.0,689,0.503225,68.746276,0.0,0.0,0.0
138,90125,939.7397,214.0,867,0.500709,67.414282,0.0,0.0,0.0
