variant,display_name,num_runs,mean_score,score_std,score_variance,mean_return,return_std,return_variance,mean_length,length_std,length_variance
vanilla_dqn,Vanilla DQN,5,410.02666,125.32498858257678,15706.352763223002,1670.4415000000001,836.0462658861052,698973.3587021,1912.06666,776.1283548725836,602375.223237223
antistall_momentum_dqn,Anti-stall DQN,5,424.98,125.58965171896129,15772.760618889995,1738.8967,859.5254438529089,738783.9886305401,1938.77332,535.1164529465638,286349.618214112
momentum_sensitive_double_dqn,Momentum Double,5,516.5533399999999,58.03920933492285,3368.549820222996,2017.7562,962.9325023363942,927239.00405583,2380.01334,457.55492108513374,209356.505809223
momentum_sensitive_dqn,Momentum DQN,5,529.32664,64.09640794754415,4108.349511778,2322.02218,642.3702356009477,412639.51958601706,2248.00668,448.2128445427597,200894.75401311205
vanilla_double_dqn,Vanilla Double,5,482.41999999999996,121.38070530131631,14733.275619445,1786.61742,1270.8796957914908,1615135.201175072,2202.61998,300.24054217021893,90144.38316266701
