episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,659,-535.1796,15.0,659,0.995,0.0,0.0,0.0,0.0
2,880,-126.6464,3.0,221,0.990025,0.0,0.0,0.0,0.0
3,1486,-686.4478,1.0,606,0.985075,0.0,0.0,0.0,0.0
4,1880,-7.4681,14.0,394,0.98015,0.0,0.0,0.0,0.0
5,3008,-9536.6271,19.0,1128,0.975249,34.735253,0.0,0.0,0.0
6,4209,-2410.6762,26.0,1201,0.970373,44.271391,0.0,0.0,0.0
7,4624,-249.3025,10.0,415,0.965521,38.900619,0.0,0.0,0.0
8,5130,-810.0204,6.0,506,0.960693,34.90285,0.0,0.0,0.0
9,5574,106.176,33.0,444,0.95589,32.671954,0.0,0.0,0.0
10,6306,-151.7351,38.0,732,0.95111,40.009766,0.0,0.0,0.0
11,7201,-1173.2692,1.0,895,0.946355,29.838064,0.0,0.0,0.0
12,8238,52.846,70.0,1037,0.941623,33.119658,0.0,0.0,0.0
13,9439,-1121.7065,9.0,1201,0.936915,26.969331,0.0,0.0,0.0
14,10229,-1209.4647,27.0,790,0.93223,30.174928,0.0,0.0,0.0
15,10804,266.508,29.0,575,0.927569,21.29334,0.0,0.0,0.0
16,11226,32.4386,21.0,422,0.922931,33.892948,0.0,0.0,0.0
17,11343,-45.8514,1.0,117,0.918316,14.377904,0.0,0.0,0.0
18,12330,-854.6568,14.0,987,0.913725,31.871831,0.0,0.0,0.0
19,13531,-6552.2443,9.0,1201,0.909156,25.927125,0.0,0.0,0.0
20,13888,243.4785,25.0,357,0.90461,26.595467,0.0,0.0,0.0
21,14160,54.0013,9.0,272,0.900087,28.025395,0.0,0.0,0.0
22,14349,63.4354,9.0,189,0.895587,21.917965,0.0,0.0,0.0
23,14527,-285.4719,0.0,178,0.891109,36.934239,0.0,0.0,0.0
24,14845,140.3319,18.0,318,0.886654,29.542629,0.0,0.0,0.0
25,15234,-719.1096,6.0,389,0.88222,35.151224,486.6049,129.1,500.2
26,15530,147.2699,14.0,296,0.877809,26.487558,0.0,0.0,0.0
27,15701,36.6255,10.0,171,0.87342,24.969638,0.0,0.0,0.0
28,16272,351.3475,36.0,571,0.869053,25.158712,0.0,0.0,0.0
29,16667,-851.1622,1.0,395,0.864708,31.169217,0.0,0.0,0.0
30,18059,-4122.3386,41.0,1392,0.860384,28.469668,0.0,0.0,0.0
31,18205,30.4422,3.0,146,0.856082,30.873555,0.0,0.0,0.0
32,18561,-288.3155,0.0,356,0.851802,32.375403,0.0,0.0,0.0
33,18952,309.1391,58.0,391,0.847543,24.197132,0.0,0.0,0.0
34,19251,147.9051,21.0,299,0.843305,37.484279,0.0,0.0,0.0
35,19797,302.0199,37.0,546,0.839089,31.745021,0.0,0.0,0.0
36,20370,286.7758,39.0,573,0.834893,28.773359,0.0,0.0,0.0
37,21388,-2181.4163,37.0,1018,0.830719,30.416099,0.0,0.0,0.0
38,22520,-356.4173,54.0,1132,0.826565,26.711466,0.0,0.0,0.0
39,23068,-151.1989,5.0,548,0.822432,28.974249,0.0,0.0,0.0
40,23253,-213.4645,1.0,185,0.81832,35.539533,0.0,0.0,0.0
41,23727,394.8417,56.0,474,0.814229,26.472663,0.0,0.0,0.0
42,24447,-1514.1563,3.0,720,0.810157,30.599877,0.0,0.0,0.0
43,25066,577.3915,92.0,619,0.806107,25.102636,0.0,0.0,0.0
44,25912,603.5647,49.0,846,0.802076,27.294911,0.0,0.0,0.0
45,26736,452.5987,45.0,824,0.798066,32.684332,0.0,0.0,0.0
46,27111,-770.3687,4.0,375,0.794075,29.690911,0.0,0.0,0.0
47,27437,228.2178,40.0,326,0.790105,25.766293,0.0,0.0,0.0
48,27687,131.4061,19.0,250,0.786154,28.513045,0.0,0.0,0.0
49,28740,-14.329,48.0,1053,0.782224,32.898638,0.0,0.0,0.0
50,29952,793.4029,100.0,1212,0.778313,27.194333,-788.7911,0.3,1201.0
51,31202,841.0281,163.0,1250,0.774421,30.572055,0.0,0.0,0.0
52,31861,518.1835,67.0,659,0.770549,29.456597,0.0,0.0,0.0
53,32841,980.0973,126.0,980,0.766696,29.041572,0.0,0.0,0.0
54,33664,828.1826,147.0,823,0.762863,32.575487,0.0,0.0,0.0
