episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,568,194.5506,63.0,568,0.995,0.0,0.0,0.0,0.0
2,1769,-4502.0649,11.0,1201,0.990025,0.0,0.0,0.0,0.0
3,2168,-15.499,39.0,399,0.985075,32.983043,0.0,0.0,0.0
4,2732,-492.0184,9.0,564,0.98015,28.330349,0.0,0.0,0.0
5,3933,-1065.6195,0.0,1201,0.975249,21.173808,0.0,0.0,0.0
6,4879,-1565.104,1.0,946,0.970373,21.191711,0.0,0.0,0.0
7,5082,46.8742,15.0,203,0.965521,11.432809,0.0,0.0,0.0
8,5852,-1252.2159,17.0,770,0.960693,25.257717,0.0,0.0,0.0
9,6188,-431.1857,3.0,336,0.95589,18.462123,0.0,0.0,0.0
10,6538,15.85,16.0,350,0.95111,26.17427,0.0,0.0,0.0
11,7739,-3094.8442,3.0,1201,0.946355,26.481846,0.0,0.0,0.0
12,7899,-91.5161,5.0,160,0.941623,14.616226,0.0,0.0,0.0
13,8151,5.4537,6.0,252,0.936915,37.424866,0.0,0.0,0.0
14,9134,-4482.3684,7.0,983,0.93223,23.207648,0.0,0.0,0.0
15,9540,-310.9248,12.0,406,0.927569,26.258142,0.0,0.0,0.0
16,9832,190.0645,37.0,292,0.922931,36.255716,0.0,0.0,0.0
17,11752,-15072.4067,15.0,1920,0.918316,24.853014,0.0,0.0,0.0
18,11880,-64.9364,7.0,128,0.913725,51.892156,0.0,0.0,0.0
19,12130,-82.3222,4.0,250,0.909156,41.279435,0.0,0.0,0.0
20,12319,67.3143,19.0,189,0.90461,45.924967,0.0,0.0,0.0
21,13282,-1099.4411,10.0,963,0.900087,32.903711,0.0,0.0,0.0
22,13418,-162.5518,0.0,136,0.895587,50.161243,0.0,0.0,0.0
23,14392,-1627.2561,7.0,974,0.891109,35.981872,0.0,0.0,0.0
24,15265,-866.0717,10.0,873,0.886654,37.837851,0.0,0.0,0.0
25,15481,-282.4677,0.0,216,0.88222,41.090696,373.4906,93.5,415.6
26,16682,-1306.8731,7.0,1201,0.877809,29.811189,0.0,0.0,0.0
27,16877,-231.0363,0.0,195,0.87342,33.64733,0.0,0.0,0.0
28,17040,45.9135,8.0,163,0.869053,20.653643,0.0,0.0,0.0
29,17127,-43.1715,6.0,87,0.864708,19.697555,0.0,0.0,0.0
