episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
82,64073,549.8515,119.0,563,0.662968,17.587216,0.0,0.0,0.0
83,64740,690.3072,157.0,667,0.659653,18.880413,0.0,0.0,0.0
84,66822,2047.3138,327.0,2082,0.656355,13.651231,0.0,0.0,0.0
85,67072,165.4922,45.0,250,0.653073,14.797511,0.0,0.0,0.0
86,67479,366.7682,90.0,407,0.649808,18.012366,0.0,0.0,0.0
87,68683,1304.3136,235.0,1204,0.646559,16.5207,0.0,0.0,0.0
88,70485,2088.114,421.0,1802,0.643326,15.124334,0.0,0.0,0.0
89,73485,2903.6549,443.0,3000,0.640109,15.293391,0.0,0.0,0.0
90,74160,666.4025,126.0,675,0.636909,17.51832,0.0,0.0,0.0
91,77160,2967.6942,489.0,3000,0.633724,13.085424,0.0,0.0,0.0
92,77312,26.4546,9.0,152,0.630556,9.375239,0.0,0.0,0.0
93,77388,-53.3803,6.0,76,0.627403,7.344573,0.0,0.0,0.0
94,80388,3269.3398,414.0,3000,0.624266,11.902934,0.0,0.0,0.0
95,82471,811.386,382.0,2083,0.621145,10.69073,0.0,0.0,0.0
96,83363,904.0828,161.0,892,0.618039,9.612318,0.0,0.0,0.0
97,84530,1303.3098,270.0,1167,0.614949,10.429689,0.0,0.0,0.0
98,84735,109.5915,30.0,205,0.611874,8.29253,0.0,0.0,0.0
99,85184,402.5689,89.0,449,0.608815,9.58544,0.0,0.0,0.0
100,85838,672.8105,153.0,654,0.60577,9.343676,245.1871,366.6,2388.8
101,86200,182.6826,37.0,362,0.602742,11.405632,0.0,0.0,0.0
102,88030,1493.1982,339.0,1830,0.599728,9.069848,0.0,0.0,0.0
103,88870,897.6527,189.0,840,0.596729,10.718535,0.0,0.0,0.0
104,90901,2282.2404,388.0,2031,0.593746,9.551894,0.0,0.0,0.0
105,91922,1108.2076,221.0,1021,0.590777,8.947229,0.0,0.0,0.0
106,92056,8.3359,15.0,134,0.587823,11.895447,0.0,0.0,0.0
107,92795,723.4561,118.0,739,0.584884,11.944044,0.0,0.0,0.0
108,94268,1675.9617,344.0,1473,0.581959,10.038828,0.0,0.0,0.0
109,94528,151.8255,28.0,260,0.57905,10.416819,0.0,0.0,0.0
110,95675,1179.9775,171.0,1147,0.576154,10.052344,0.0,0.0,0.0
111,98675,3440.2618,514.0,3000,0.573274,8.728166,0.0,0.0,0.0
112,99287,596.7971,120.0,612,0.570407,6.924464,0.0,0.0,0.0
113,101829,2878.4231,497.0,2542,0.567555,8.936568,0.0,0.0,0.0
114,102074,137.8036,32.0,245,0.564717,9.797069,0.0,0.0,0.0
115,103542,1605.1059,273.0,1468,0.561894,11.567064,0.0,0.0,0.0
116,104766,1367.6824,282.0,1224,0.559084,8.205623,0.0,0.0,0.0
117,105231,422.5683,94.0,465,0.556289,6.377727,0.0,0.0,0.0
118,105557,245.364,52.0,326,0.553508,16.00028,0.0,0.0,0.0
119,106160,605.0367,136.0,603,0.55074,8.026794,0.0,0.0,0.0
120,107632,1691.2204,355.0,1472,0.547986,7.741931,0.0,0.0,0.0
121,107784,35.1489,10.0,152,0.545246,13.006881,0.0,0.0,0.0
122,110784,2804.8955,467.0,3000,0.54252,9.062316,0.0,0.0,0.0
123,112736,516.8725,196.0,1952,0.539808,7.388985,0.0,0.0,0.0
124,112874,18.1716,16.0,138,0.537108,5.299478,0.0,0.0,0.0
125,114512,1327.0017,265.0,1638,0.534423,9.310742,2245.4225,488.4,2522.4
126,114683,60.8668,23.0,171,0.531751,6.228272,0.0,0.0,0.0
127,115917,1371.8513,269.0,1234,0.529092,11.722029,0.0,0.0,0.0
128,116089,55.5331,21.0,172,0.526447,31.800377,0.0,0.0,0.0
129,116414,217.6451,29.0,325,0.523814,8.976637,0.0,0.0,0.0
130,119414,3499.9479,566.0,3000,0.521195,8.853347,0.0,0.0,0.0
131,119854,359.0001,64.0,440,0.518589,14.735773,0.0,0.0,0.0
132,121709,-4150.8742,148.0,1855,0.515996,11.072192,0.0,0.0,0.0
133,122240,504.2562,107.0,531,0.513416,20.307472,0.0,0.0,0.0
134,124728,2778.475,427.0,2488,0.510849,10.721681,0.0,0.0,0.0
135,124810,-46.6596,7.0,82,0.508295,6.44448,0.0,0.0,0.0
136,125600,794.5594,137.0,790,0.505754,13.994258,0.0,0.0,0.0
137,125824,108.3084,22.0,224,0.503225,9.470759,0.0,0.0,0.0
138,126217,323.3591,67.0,393,0.500709,11.744736,0.0,0.0,0.0
139,126524,197.9232,24.0,307,0.498205,9.791308,0.0,0.0,0.0
140,129106,2436.5572,412.0,2582,0.495714,9.461629,0.0,0.0,0.0
141,131024,2093.5366,324.0,1918,0.493236,11.708829,0.0,0.0,0.0
142,133584,2931.3585,510.0,2560,0.490769,11.700688,0.0,0.0,0.0
143,136584,3461.2878,544.0,3000,0.488316,11.309039,0.0,0.0,0.0
144,138300,1930.0037,353.0,1716,0.485874,12.010628,0.0,0.0,0.0
145,138804,425.3065,54.0,504,0.483445,16.951357,0.0,0.0,0.0
146,141804,3536.4877,571.0,3000,0.481027,11.308391,0.0,0.0,0.0
147,143878,2374.7196,438.0,2074,0.478622,11.047934,0.0,0.0,0.0
148,146878,3544.3776,581.0,3000,0.476229,12.396287,0.0,0.0,0.0
149,147346,395.931,68.0,468,0.473848,11.498577,0.0,0.0,0.0
150,149188,-12794.7652,117.0,1842,0.471479,18.879437,475.4803,394.2,2820.4
151,149269,-48.0855,5.0,81,0.469121,16.05669,0.0,0.0,0.0
152,149880,578.6251,108.0,611,0.466776,15.446504,0.0,0.0,0.0
153,151086,1330.5138,266.0,1206,0.464442,13.078237,0.0,0.0,0.0
154,151930,886.2334,179.0,844,0.46212,13.953311,0.0,0.0,0.0
155,154727,3219.318,558.0,2797,0.459809,17.283318,0.0,0.0,0.0
156,157005,2665.4247,519.0,2278,0.45751,18.559288,0.0,0.0,0.0
157,157758,-388.7621,53.0,753,0.455222,18.247829,0.0,0.0,0.0
158,158533,588.3266,138.0,775,0.452946,13.090537,0.0,0.0,0.0
159,158611,-46.751,6.0,78,0.450682,12.816666,0.0,0.0,0.0
160,158863,140.1115,21.0,252,0.448428,10.638609,0.0,0.0,0.0
