episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,690,-740.7752,8.0,690,0.995,0.0,0.0,0.0,0.0
2,894,-92.1676,7.0,204,0.990025,0.0,0.0,0.0,0.0
3,1317,-760.7144,4.0,423,0.985075,0.0,0.0,0.0,0.0
4,2129,-1581.8463,2.0,812,0.98015,29.224871,0.0,0.0,0.0
5,2239,-42.5629,4.0,110,0.975249,10.826057,0.0,0.0,0.0
6,2355,-112.9051,2.0,116,0.970373,10.111813,0.0,0.0,0.0
7,2809,-324.4917,18.0,454,0.965521,23.294527,0.0,0.0,0.0
8,2995,53.3701,5.0,186,0.960693,30.216967,0.0,0.0,0.0
9,3213,106.3799,25.0,218,0.95589,22.627157,0.0,0.0,0.0
10,3646,-24.4597,14.0,433,0.95111,36.036695,0.0,0.0,0.0
11,4215,-642.7831,19.0,569,0.946355,29.913103,0.0,0.0,0.0
12,4986,-2156.128,3.0,771,0.941623,31.019144,0.0,0.0,0.0
13,5809,-291.6489,14.0,823,0.936915,30.43024,0.0,0.0,0.0
14,5954,-50.3749,7.0,145,0.93223,13.657765,0.0,0.0,0.0
15,6616,-1789.3721,12.0,662,0.927569,22.732496,0.0,0.0,0.0
16,6676,-109.702,0.0,60,0.922931,39.369302,0.0,0.0,0.0
17,7378,-2788.8276,8.0,702,0.918316,26.602082,0.0,0.0,0.0
18,7955,-762.2499,4.0,577,0.913725,34.036595,0.0,0.0,0.0
19,9156,-2831.4912,2.0,1201,0.909156,27.945577,0.0,0.0,0.0
20,9841,-1864.1093,6.0,685,0.90461,17.026729,0.0,0.0,0.0
21,10305,-1357.6154,8.0,464,0.900087,29.128617,0.0,0.0,0.0
22,10451,-270.77,0.0,146,0.895587,26.294614,0.0,0.0,0.0
23,10674,-215.3185,0.0,223,0.891109,30.700446,0.0,0.0,0.0
24,11683,-1200.9864,13.0,1009,0.886654,22.605697,0.0,0.0,0.0
25,11774,-169.0128,0.0,91,0.88222,12.7135,-158.9359,26.5,1191.1
26,12493,-709.6355,3.0,719,0.877809,27.668546,0.0,0.0,0.0
27,13170,-1054.6998,3.0,677,0.87342,23.75907,0.0,0.0,0.0
28,14371,-5070.6227,8.0,1201,0.869053,22.240134,0.0,0.0,0.0
29,14789,328.7087,40.0,418,0.864708,22.580391,0.0,0.0,0.0
30,15381,206.9471,36.0,592,0.860384,22.998479,0.0,0.0,0.0
31,16105,-415.4764,3.0,724,0.856082,20.05034,0.0,0.0,0.0
32,16845,330.494,56.0,740,0.851802,17.492316,0.0,0.0,0.0
33,18349,272.2265,51.0,1504,0.847543,17.399317,0.0,0.0,0.0
34,19296,284.5326,66.0,947,0.843305,21.165525,0.0,0.0,0.0
35,19393,-133.3546,0.0,97,0.839089,30.795337,0.0,0.0,0.0
36,20351,133.2263,42.0,958,0.834893,23.052667,0.0,0.0,0.0
37,20895,302.7876,38.0,544,0.830719,14.625947,0.0,0.0,0.0
38,21127,-134.4399,11.0,232,0.826565,15.703478,0.0,0.0,0.0
39,22961,-2029.0453,58.0,1834,0.822432,17.425992,0.0,0.0,0.0
40,23181,-10.2052,7.0,220,0.81832,27.192534,0.0,0.0,0.0
41,23433,142.7906,31.0,252,0.814229,18.638056,0.0,0.0,0.0
42,24143,253.8895,37.0,710,0.810157,24.851192,0.0,0.0,0.0
43,24556,305.2719,47.0,413,0.806107,21.481526,0.0,0.0,0.0
44,25500,-2592.6185,16.0,944,0.802076,23.333066,0.0,0.0,0.0
45,25598,-194.8023,0.0,98,0.798066,10.903337,0.0,0.0,0.0
46,25939,-20.4165,28.0,341,0.794075,20.261399,0.0,0.0,0.0
47,26271,238.5066,45.0,332,0.790105,11.815008,0.0,0.0,0.0
48,26919,-31.0767,43.0,648,0.786154,16.640684,0.0,0.0,0.0
49,28120,-1479.6282,0.0,1201,0.782224,21.558915,0.0,0.0,0.0
50,28378,138.7465,22.0,258,0.778313,23.288036,-1191.4226,129.2,1097.2
51,28922,404.0036,80.0,544,0.774421,17.793636,0.0,0.0,0.0
52,29089,-111.4593,2.0,167,0.770549,28.208545,0.0,0.0,0.0
53,29663,486.4992,54.0,574,0.766696,18.172699,0.0,0.0,0.0
54,30853,-1505.5314,36.0,1190,0.762863,20.172382,0.0,0.0,0.0
55,30996,-111.5828,2.0,143,0.759048,20.048168,0.0,0.0,0.0
56,31354,224.3112,28.0,358,0.755253,18.737791,0.0,0.0,0.0
57,31867,271.3803,40.0,513,0.751477,21.122898,0.0,0.0,0.0
58,32287,311.014,43.0,420,0.747719,20.360889,0.0,0.0,0.0
59,32525,132.3495,32.0,238,0.743981,21.307292,0.0,0.0,0.0
60,32875,242.7637,42.0,350,0.740261,20.517784,0.0,0.0,0.0
61,33702,513.9603,52.0,827,0.73656,24.791047,0.0,0.0,0.0
62,33811,-17.3799,11.0,109,0.732877,9.948824,0.0,0.0,0.0
63,34197,276.9319,34.0,386,0.729212,20.829108,0.0,0.0,0.0
64,35238,253.0489,71.0,1041,0.725566,20.023036,0.0,0.0,0.0
65,36867,850.4371,84.0,1629,0.721939,21.558051,0.0,0.0,0.0
66,37429,490.9036,66.0,562,0.718329,21.031799,0.0,0.0,0.0
67,38364,741.9385,83.0,935,0.714737,20.592881,0.0,0.0,0.0
68,38724,266.4562,48.0,360,0.711164,12.35454,0.0,0.0,0.0
69,39801,984.301,71.0,1077,0.707608,21.1796,0.0,0.0,0.0
70,40776,663.8379,97.0,975,0.70407,21.445196,0.0,0.0,0.0
71,41489,677.7815,101.0,713,0.700549,14.741476,0.0,0.0,0.0
72,42241,720.2317,93.0,752,0.697047,18.085586,0.0,0.0,0.0
73,42600,281.6697,52.0,359,0.693561,14.235236,0.0,0.0,0.0
74,42803,97.8676,33.0,203,0.690094,14.306247,0.0,0.0,0.0
75,43655,830.8247,122.0,852,0.686643,17.007368,542.2239,155.5,517.4
76,44371,648.5818,130.0,716,0.68321,10.728146,0.0,0.0,0.0
77,44487,-8.3429,12.0,116,0.679794,27.31385,0.0,0.0,0.0
78,46927,2249.5093,321.0,2440,0.676395,23.684892,0.0,0.0,0.0
79,47475,425.6145,43.0,548,0.673013,16.68214,0.0,0.0,0.0
80,49808,928.3303,153.0,2333,0.669648,22.848967,0.0,0.0,0.0
81,49929,-2.233,11.0,121,0.6663,29.400046,0.0,0.0,0.0
82,50949,1060.538,175.0,1020,0.662968,19.854554,0.0,0.0,0.0
83,51436,423.7003,69.0,487,0.659653,21.315373,0.0,0.0,0.0
84,52135,583.8392,79.0,699,0.656355,21.439711,0.0,0.0,0.0
85,52361,128.9041,35.0,226,0.653073,20.686105,0.0,0.0,0.0
86,53163,852.5248,183.0,802,0.649808,22.836932,0.0,0.0,0.0
87,54716,1680.942,263.0,1553,0.646559,28.591973,0.0,0.0,0.0
88,55537,748.3735,92.0,821,0.643326,22.241985,0.0,0.0,0.0
89,56573,1096.6016,202.0,1036,0.640109,22.669324,0.0,0.0,0.0
90,57722,1227.4007,227.0,1149,0.636909,24.475295,0.0,0.0,0.0
91,58820,1096.557,213.0,1098,0.633724,24.824501,0.0,0.0,0.0
92,60276,1554.8154,251.0,1456,0.630556,25.024006,0.0,0.0,0.0
93,61176,931.5916,172.0,900,0.627403,27.458002,0.0,0.0,0.0
94,62618,1508.3981,241.0,1442,0.624266,22.908829,0.0,0.0,0.0
95,62906,155.4152,35.0,288,0.621145,24.532342,0.0,0.0,0.0
96,63708,272.9126,55.0,802,0.618039,14.532558,0.0,0.0,0.0
97,64426,695.913,111.0,718,0.614949,19.551119,0.0,0.0,0.0
98,65593,1190.3686,164.0,1167,0.611874,17.710937,0.0,0.0,0.0
99,65676,-47.1037,5.0,83,0.608815,23.719031,0.0,0.0,0.0
100,65753,-52.1128,4.0,77,0.60577,28.526464,-60.8124,4.0,82.2
101,67367,-8024.1115,76.0,1614,0.602742,18.27715,0.0,0.0,0.0
